Title,Body (HTML),Type,Tags,Image Src,Image Position
Biz and Buzz,"<p>Two Brothers...From Different Mothers</p>
<p>Created, Written and Drawn by <a href=""/search?q=Kevin+Eastman"">Kevin Eastman</a> and <a href=""/search?q=Simon+Bisley"">Simon Bisley</a></p>",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF03272018.jpg?v=1522682749,1
Hoax Hunters #1 - All 3 Covers,"<h2 align=""center"">Order all 3 covers and get 20% off!</h2>This is no prank! History is made today with the first-ever monthly comicto be published under the legendary banner of Heavy Metal! <br><br>With the Hoax Hunters team in shambles following Jack_s untimely departure, they head to Paris under Donovan_s controversial leadership. Don_t miss this landmark issue, as the series reaches a crucial turning point on and off of the page!<br><br><h2 align=""center"">LIMITED STOCK</h2><br><br><div align=""center""><a href=""../pdf/Hoax-Hunters-1-sample.pdf"" target=""_new""><img src=""../images/hh_download.jpg"" width=""500"" height=""250""></a></div>",Comic,"Comics, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/hh1_all3.jpg?v=1505679828,1
Hoax Hunters #1 - Cover A,"<h2 align=""center"">Cover A by Rob Prior</h2>
This is no prank! History is made today with the first-ever monthly comicto be published under the legendary banner of Heavy Metal! <br><br>With the Hoax Hunters team in shambles following Jack_s untimely departure, they head to Paris under Donovan_s controversial leadership. Don_t miss this landmark issue, as the series reaches a crucial turning point on and off of the page!<br><br>
<div align=""center""><a href=""https://subscriptions.heavymetal.com/pdf/Hoax-Hunters-1-sample.pdf"" target=""_new""><img src=""https://subscriptions.heavymetal.com/images/hh_download.jpg"" width=""500"" height=""250""></a></div>",Comic,"allowsale, Comics, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/hh1a.jpg?v=1505679828,1
Hoax Hunters #1 - Cover B,"<h2 align=""center"">Cover B by Christian DiBari</h2>This is no prank! History is made today with the first-ever monthly comicto be published under the legendary banner of Heavy Metal! <br><br>With the Hoax Hunters team in shambles following Jack_s untimely departure, they head to Paris under Donovan_s controversial leadership. Don_t miss this landmark issue, as the series reaches a crucial turning point on and off of the page!<br><br><div align=""center""><a href=""../pdf/Hoax-Hunters-1-sample.pdf"" target=""_new""><img src=""../images/hh_download.jpg"" width=""500"" height=""250""></a></div>",Comic,"allowsale, Comics, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/hh1b.jpg?v=1505679829,1
Hoax Hunters #1 - Cover C,"<h2 align=""center"">Cover C by ROB PRIOR</h2>This is no prank! History is made today with the first-ever monthly comicto be published under the legendary banner of Heavy Metal! <br><br>With the Hoax Hunters team in shambles following Jack_s untimely departure, they head to Paris under Donovan_s controversial leadership. Don_t miss this landmark issue, as the series reaches a crucial turning point on and off of the page!<br><br><h2 align=""center"">LIMITED STOCK<br>Fewer than 1,000 in print</h2><br><br><div align=""center""><a href=""../pdf/Hoax-Hunters-1-sample.pdf"" target=""_new""><img src=""../images/hh_download.jpg"" width=""500"" height=""250""></a></div>",Comic,"allowsale, Comics, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/hh1c.jpg?v=1505679829,1
"Hoax Hunters #1 - Cover C (Signed by Rob Prior, Michael Moreci and Steve Seeley)","<b>Hoax Hunters #1 - LIMITED EDITION SIGNED COPIES</b>
<p>Fewer than 100 copies</p>
<p>Here's an awesome opportunity to grab yourself a signed copy of the first issue. <b>This super rare variant cover by Rob Prior is signed by Rob Prior, Michael Moreci and Steve Seeley.</b></p>
<p>In Hoax Hunters News - Agents of SHIELD writer-consulting producer Craig Titley has been tapped to pen the script.</p>
<p>Don Murphy (Transformers) is attached to produce with Heavy Metal principles Jeff Krelitz and David Boxenbaum.</p>
<p>Created by Michael Moreci and Steve Seeley (the brother of Hack/Slash creator Tim Seeley), the comic focuses on a group of paranormal investigators who debunk mysteries for a TV show called Hoax Hunters. But in reality, the hunters are working hard to cover up and keep the world_s dark forces secret.</p>
<p>Titley comes with some geek credentials. In addition to SHIELD, he was a writer-consulting producer on the short-lived superhero show The Cape and wrote Percy Jackson &amp; the Olympians: The Lightning Thief. He also wrote episodes of Star Wars: The Clone Wars.</p>
<p>As a conspiracy nut, Titley, has an true affinity for the material. He was a writer and co-exec producer on the television documentary Conspiracy Theory: Did We Land On the Moon?</p>
<p>""I've never met a a conspiracy that I didn't love,"" Titley told The Hollywood Reporter. ""They force people to think outside the box, and are a way to rewire reality."" He said he hoped to stay as close to the comics as possible.</p>
<p> </p>",Comic,"Comics, Signed",https://cdn.shopify.com/s/files/1/2358/6005/products/HH3_signed.jpg?v=1505679828,1
Hoax Hunters #1 (Signed by Michael Moreci and Christian Dibari),<p>Signed by Michael Moreci and Christian Dibari</p>,Comic,"Signed, Signed Issues",https://cdn.shopify.com/s/files/1/2358/6005/products/hoax-hunters-1-signed.jpg?v=1505679833,1
Hoax Hunters #2,"Jack and his newfound group of ""investigators"" look into a series of grisly murders in their prison dimension home. Meanwhile, the Hoax Hunters team in Paris tries to keep their act together as a powerful French mystic proves to be more formidable an adversary than expected. The acclaimed series continues!!!<p>Story by    Michael Moreci, Steve Seeley<br>Art by    Christian DiBari<br>Colors by    Mike Spicer<br>Letters by    Jim Campbell<br>Cover by    Rob Prior</p><p><b>In Hoax Hunters News - Agents of SHIELD writer-consulting producer Craig Titley has been tapped to pen the script.</b></p><p>Don Murphy (Transformers) is attached to produce with Heavy Metal principles Jeff Krelitz and David Boxenbaum.</p><p>Created by Michael Moreci and Steve Seeley (the brother of Hack/Slash creator Tim Seeley), the comic focuses on a group of paranormal investigators who debunk mysteries for a TV show called Hoax Hunters. But in reality, the hunters are working hard to cover up and keep the world_s dark forces secret.</p><p>Titley comes with some geek credentials. In addition to SHIELD, he was a writer-consulting producer on the short-lived superhero show The Cape and wrote Percy Jackson &amp; the Olympians: The Lightning Thief. He also wrote episodes of Star Wars: The Clone Wars.</p><p>As a conspiracy nut, Titley, has an true affinity for the material. He was a writer and co-exec producer on the television documentary Conspiracy Theory: Did We Land On the Moon?</p><p>""I've never met a a conspiracy that I didn't love,"" Titley told The Hollywood Reporter. ""They force people to think outside the box, and are a way to rewire reality."" He said he hoped to stay as close to the comics as possible.</p>",Comic,"allowsale, Comics, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/HH2_cover.jpg?v=1505679830,1
Hoax Hunters #2 (Signed by Michael Moreci and Christian Dibari),<p>Signed by Michael Moreci and Christian Dibari</p>,Comic,"Signed, Signed Issues",https://cdn.shopify.com/s/files/1/2358/6005/products/hoaxs-hunters-2-signed.jpg?v=1505679834,1
Hoax Hunters #3,"Jack and Helena go toe to toe with a dangerous enemy while the Hoax Hunters face a foe of their own - a giant monster camped out in a French mansion. <p>Story by Michael Moreci, Steve Seeley<br>Art by Christian DiBari<br>Colors by Mike Spicer<br>Letters by Jim Campbell<br>Cover by Rob Prior</p><p><b>In Hoax Hunters News - Agents of SHIELD writer-consulting producer Craig Titley has been tapped to pen the script.</b></p><p>Don Murphy (Transformers) is attached to produce with Heavy Metal principles Jeff Krelitz and David Boxenbaum.</p><p>Created by Michael Moreci and Steve Seeley (the brother of Hack/Slash creator Tim Seeley), the comic focuses on a group of paranormal investigators who debunk mysteries for a TV show called Hoax Hunters. But in reality, the hunters are working hard to cover up and keep the world_s dark forces secret.</p><p>Titley comes with some geek credentials. In addition to SHIELD, he was a writer-consulting producer on the short-lived superhero show The Cape and wrote Percy Jackson &amp; the Olympians: The Lightning Thief. He also wrote episodes of Star Wars: The Clone Wars.</p><p>As a conspiracy nut, Titley, has an true affinity for the material. He was a writer and co-exec producer on the television documentary Conspiracy Theory: Did We Land On the Moon?</p><p>""I've never met a a conspiracy that I didn't love,"" Titley told The Hollywood Reporter. ""They force people to think outside the box, and are a way to rewire reality."" He said he hoped to stay as close to the comics as possible.</p>",Comic,"allowsale, Comics, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/hoax_hunters_03_400wide.jpg?v=1505679830,1
Hoax Hunters #3 (Signed by Michael Moreci and Christian Dibari),<p>Signed by Michael Moreci and Christian Dibari</p>,Comic,"Signed, Signed Issues",https://cdn.shopify.com/s/files/1/2358/6005/products/hoax-hunters-3-signed.jpg?v=1505679834,1
Hoax Hunters #4,"The acclaimed Image Comics series continues at Heavy Metal! The flagship title of the Heavy Metal comics line continues with this must read issue! Regan's powers are tested by a growing threat and Jack faces off with a multidimensional killer! This month's installment has all the exposition longtime readers are looking for with plenty of action for newcomers. <p>Story by Michael Moreci, Steve Seeley<br>Art by Christian DiBari<br>Colors by Mike Spicer<br>Letters by Jim Campbell<br>Cover by Rob Prior</p><p><b>In Hoax Hunters News - Agents of SHIELD writer-consulting producer Craig Titley has been tapped to pen the script.</b></p><p>Don Murphy (Transformers) is attached to produce with Heavy Metal principles Jeff Krelitz and David Boxenbaum.</p><p>Created by Michael Moreci and Steve Seeley (the brother of Hack/Slash creator Tim Seeley), the comic focuses on a group of paranormal investigators who debunk mysteries for a TV show called Hoax Hunters. But in reality, the hunters are working hard to cover up and keep the world_s dark forces secret.</p><p>Titley comes with some geek credentials. In addition to SHIELD, he was a writer-consulting producer on the short-lived superhero show The Cape and wrote Percy Jackson &amp; the Olympians: The Lightning Thief. He also wrote episodes of Star Wars: The Clone Wars.</p><p>As a conspiracy nut, Titley, has an true affinity for the material. He was a writer and co-exec producer on the television documentary Conspiracy Theory: Did We Land On the Moon?</p><p>""I've never met a a conspiracy that I didn't love,"" Titley told The Hollywood Reporter. ""They force people to think outside the box, and are a way to rewire reality."" He said he hoped to stay as close to the comics as possible.</p><p><b>Available 6/24/2015</b></p>",Comic,"allowsale, Comics, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/hoax_hunters_04_400wide.jpg?v=1505679830,1
Hoax Hunters #4 (Signed by Michael Moreci and Christian Dibari),<p>Signed by Michael Moreci and Christian Dibari</p>,Comic,"Signed, Signed Issues",https://cdn.shopify.com/s/files/1/2358/6005/products/hoax-hunters-4-signed.jpg?v=1505679834,1
Hoax Hunters #5,"The Arc concludes with Hoax Hunters 5<p>Story by Michael Moreci, Steve Seeley</p><p>Art by Christian DiBari</p><p>Colors by Mike Spicer</p><p>Letters by Jim Campbell</p><p>Cover by Rob Prior</p>",Comic,"allowsale, Comics, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/HH_5_cover.jpg?v=1505679833,1
Hoax Hunters #5 (Signed by Michael Moreci and Christian Dibari),<p>Signed by Michael Moreci and Christian Dibari</p>,Comic,"Signed, Signed Issues",https://cdn.shopify.com/s/files/1/2358/6005/products/hoax-hunters-5-signed.jpg?v=1505679835,1
Hollywood Undead Origins,"<p>Written by <b>Paul Allor</b>, the comic follows <b>HOLLYWOOD UNDEAD</b>'s members as they discover a deep conspiracy; all across Los Angeles, people are acting unnaturally happy and compliant. People in the counterculture are suddenly fitting into society, finding square jobs and loving them. Is it clones? Robots? Alien replacements? The crew discovers that in reality, it's a system of mental and physical alteration, funded by a powerful tech mogul-turned City Councilman. And what's more, the ""victims"" aren't victims at all; they're undergoing the process voluntarily. But our guys won't stand for that. They work to destroy the facility, assisted by like-minded people from across the city.</p>
<p>This fifty-six-page comic ties in with the release of <b>HOLLYWOOD UNDEAD</b>'s fifth studio album, <b>""V""</b>.</p>",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF03092018.jpg?v=1520621932,1
Interceptor #1 - Cover A,"Written by Donny Cates. Art and Cover by Dylan Burnett. Interceptor tells the tale of Poli and Weep, two freedom fighters on a planet populated exclusively by blood-sucking vampires. A planet called Earth. A neon-drenched, blood-soaked vision of vampires like you've never seen before! (I.E. sweet mech suits and laser swords and stuff!) 28 pages, full color.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/interceptor-1a-signed_1024x1024_2x_974e7668-ecfe-416f-a4dd-32ba6416a44b.jpg?v=1519845458,1
Interceptor #1 - Cover A - Signed,"<p>Signed by Donny Cates and Dylan Burnett</p>
<p>Written by Donny Cates. Art and Cover by Dylan Burnett. Interceptor tells the tale of Poli and Weep, two freedom fighters on a planet populated exclusively by blood-sucking vampires. A planet called Earth. A neon-drenched, blood-soaked vision of vampires like you've never seen before! (I.E. sweet mech suits and laser swords and stuff!) 28 pages, full color.</p>",Comic,"Signed, Signed Issues",https://cdn.shopify.com/s/files/1/2358/6005/products/interceptor-1a-signed.jpg?v=1505679840,1
Interceptor #1 - Cover B,"Written by Donny Cates. Art by Dylan Burnett. Cover by Daniel Warren Johnson. Interceptor tells the tale of Poli and Weep, two freedom fighters on a planet populated exclusively by blood-sucking vampires. A planet called Earth. A neon-drenched, blood-soaked vision of vampires like you've never seen before! (I.E. sweet mech suits and laser swords and stuff!) 28 pages, full color.",Comic,"Comics, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0007.jpg?v=1519760687,1
Interceptor #2,"Written by Donny Cates. Art by Dylan Burnett. Cover by Nick Pitarra Poli. (the titular Interceptor herself) and Weep (badass rebel kid) find themselves at the mercy of Sherriff Arden Reeve and the blood-drunk Baroness of the North, Matilda. Trapped in a vampire prison, surrounded on all sides and dangerously pissed off, Poli and Weep fight for survival as the fates of two worlds hang in the balance! 28 pages, full color.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/interceptor2cover.jpg?v=1505679839,1
Interceptor #2 - Signed,"<p>Signed by Donny Cates and Dylan Burnett</p>
<p>Written by Donny Cates. Art by Dylan Burnett. Cover by Nick Pitarra Poli. (the titular Interceptor herself) and Weep (badass rebel kid) find themselves at the mercy of Sherriff Arden Reeve and the blood-drunk Baroness of the North, Matilda. Trapped in a vampire prison, surrounded on all sides and dangerously pissed off, Poli and Weep fight for survival as the fates of two worlds hang in the balance! 28 pages, full color.</p>",Comic,"Signed, Signed Issues",https://cdn.shopify.com/s/files/1/2358/6005/products/interceptor-2-signed.jpg?v=1505679840,1
Interceptor #3 - Cover A,"Written by Donny Cates. Art and Cover by Dylan Burnett. A comic about space vampires and mech suits with an all-female cast. Billions of light years from home, marooned on a planet full of vampires, outgunned, outmanned, and backed only by a ragtag team of human rebels made up of untrained farmers and children…what's a girl to do? While our heroine Poli doesn't know for sure, beating the living crap out of a cocky vampire sheriff for information seems like a great place to start!",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02282018_0011.jpg?v=1519844188,1
Interceptor #3 - Cover B,"Written by Donny Cates. Art by Dylan Burnett. Cover by Nick Pitarra. A comic about space vampires and mech suits with an all-female cast. Billions of light years from home, marooned on a planet full of vampires, outgunned, outmanned, and backed only by a ragtag team of human rebels made up of untrained farmers and children…what's a girl to do? While our heroine Poli doesn't know for sure, beating the living crap out of a cocky vampire sheriff for information seems like a great place to start! 28 pages, full color.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02282018_0012.jpg?v=1519844217,1
Interceptor #4 - Cover A,"Written by Donny Cates. Art and Cover by Dylan Burnett. As Poli suits up to overthrow the vampire city of New Wallachia, Weep and her family-Hey, you know what? I'm gonna level with you here, this issue is like 90% mech suit destruction. it's insane and great and please order it. 28 pages, full color.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02282018_0013.jpg?v=1519844234,1
Interceptor #4 - Cover B,"Written by Donny Cates. Art by Dylan Burnett. Cover by Adam Gorham. As Poli suits up to overthrow the vampire city of New Wallachia, Weep and her family-Hey, you know what? I'm gonna level with you here, this issue is like 90% mech suit destruction. it's insane and great and please order it. 28 pages, full color.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0001.jpg?v=1519760565,1
Interceptor #5 - Cover A,"Written by Donny Cates. Art and Cover by Dylan Burnett. Poli faces her bloodsucking betrayer as the fate of two worlds hangs in the balance. Will the people of Earth survive this final conflict? Will Palus come to the rescue and save Poli? Will Poli beat the ever-living crap out of some more vampires? In order: maybe, probably not, and absolutley. It all ends here, folks. 28 pages, full color.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02272018_0002.jpg?v=1519760747,1
Interceptor #5 - Cover B,"Written by Donny Cates. Art by Dylan Burnett. Cover by Jamal Campbell. Poli faces her bloodsucking betrayer as the fate of two worlds hangs in the balance. Will the people of Earth survive this final conflict? Will Palus come to the rescue and save Poli? Will Poli beat the ever-living crap out of some more vampires? In order: maybe, probably not, and absolutley. It all ends here, folks. 28 pages, full color.",Comic,onsale,https://cdn.shopify.com/s/files/1/2358/6005/products/CCF02282018_0016.jpg?v=1519844274,1
Iron Maiden Legacy of the Beast - Issue #1 - Cover A,"When dark forces conspire to corrupt the fabric of reality, Eddie's immortal soul is shattered and strewn across the cosmos, his unbound essence corrupting countless worlds! Now, a weakened, primal Eddie must journey across space and time to battle the twisted legions of The Beast, seek out the lost shards of his soul, and bring order to the realms. With each victory, and with the aid of old friends, Eddie will restore his fearsome powers as he draws ever closer to facing the Unholy foe behind his fall - and thwarting a plot to unravel all of Creation! The first official Iron Maiden comic series, based on the band's hit mobile role playing game, Iron Maiden: Legacy Of The Beast, where players battle as Eddie across the many worlds of Iron Maiden's discography, from the ancient sands of Powerslave to the far future of the Final Frontier.
<p> </p>
<p>Cover by <a href=""https://heavy-metal-mag.myshopify.com/search?q=Santi+Casas"">Santi Casas</a></p>",Comic,"Iron Maiden, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/IRON_MAIDEN_01_Cover_A.jpg?v=1508342259,1
Iron Maiden Legacy of the Beast - Issue #1 - Cover B,"When dark forces conspire to corrupt the fabric of reality, Eddie's immortal soul is shattered and strewn across the cosmos, his unbound essence corrupting countless worlds! Now, a weakened, primal Eddie must journey across space and time to battle the twisted legions of The Beast, seek out the lost shards of his soul, and bring order to the realms. With each victory, and with the aid of old friends, Eddie will restore his fearsome powers as he draws ever closer to facing the Unholy foe behind his fall - and thwarting a plot to unravel all of Creation! The first official Iron Maiden comic series, based on the band's hit mobile role playing game, Iron Maiden: Legacy Of The Beast, where players battle as Eddie across the many worlds of Iron Maiden's discography, from the ancient sands of Powerslave to the far future of the Final Frontier.",Comic,"Iron Maiden, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/IRON_MAIDEN_01_Cover_B.jpg?v=1508342304,1
Iron Maiden Legacy of the Beast - Issue #1 - Cover C,"When dark forces conspire to corrupt the fabric of reality, Eddie's immortal soul is shattered and strewn across the cosmos, his unbound essence corrupting countless worlds! Now, a weakened, primal Eddie must journey across space and time to battle the twisted legions of The Beast, seek out the lost shards of his soul, and bring order to the realms. With each victory, and with the aid of old friends, Eddie will restore his fearsome powers as he draws ever closer to facing the Unholy foe behind his fall - and thwarting a plot to unravel all of Creation! The first official Iron Maiden comic series, based on the band's hit mobile role playing game, Iron Maiden: Legacy Of The Beast, where players battle as Eddie across the many worlds of Iron Maiden's discography, from the ancient sands of Powerslave to the far future of the Final Frontier.",Comic,"Iron Maiden, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/IRON_MAIDEN_01_Cover_C.jpg?v=1508342325,1
Iron Maiden Legacy of the Beast - Issue #1 - SDCC NUMBERED,"<p><strong>**SDCC Numbered**</strong></p>
<meta charset=""utf-8"">
<p><span>When dark forces conspire to corrupt the fabric of reality, Eddie's immortal soul is shattered and strewn across the cosmos, his unbound essence corrupting countless worlds! Now, a weakened, primal Eddie must journey across space and time to battle the twisted legions of The Beast, seek out the lost shards of his soul, and bring order to the realms. With each victory, and with the aid of old friends, Eddie will restore his fearsome powers as he draws ever closer to facing the Unholy foe behind his fall - and thwarting a plot to unravel all of Creation! The first official Iron Maiden comic series, based on the band's hit mobile role playing game, Iron Maiden: Legacy Of The Beast, where players battle as Eddie across the many worlds of Iron Maiden's discography, from the ancient sands of Powerslave to the far future of the Final Frontier.</span></p>",Comic,"Iron Maiden, Rare-Collectible",https://cdn.shopify.com/s/files/1/2358/6005/products/IMG_20170720_160304.jpg?v=1505679641,1
Iron Maiden Legacy of the Beast - Issue #2 - Cover A,"<p>When dark forces conspire to corrupt the fabric of reality, Eddie's immortal soul is shattered and strewn across the cosmos, his unbound essence corrupting countless worlds! Now, a weakened, primal Eddie must journey across space and time to battle the twisted legions of The Beast, seek out the lost shards of his soul, and bring order to the realms. With each victory, and with the aid of old friends, Eddie will restore his fearsome powers as he draws ever closer to facing the Unholy foe behind his fall - and thwarting a plot to unravel all of Creation! The first official Iron Maiden comic series, based on the band's hit mobile role playing game, Iron Maiden: Legacy Of The Beast, where players battle as Eddie across the many worlds of Iron Maiden's discography, from the ancient sands of Powerslave to the far future of the Final Frontier.</p>
<p> </p>
<p>Cover by <a href=""/search?q=Santi+Casas"">Santi Casas</a></p>",Comic,"Iron Maiden, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/IRON_MAIDEN_02_Cover_A.jpg?v=1512856942,1
Iron Maiden Legacy of the Beast - Issue #2 - Cover B,"<p>When dark forces conspire to corrupt the fabric of reality, Eddie's immortal soul is shattered and strewn across the cosmos, his unbound essence corrupting countless worlds! Now, a weakened, primal Eddie must journey across space and time to battle the twisted legions of The Beast, seek out the lost shards of his soul, and bring order to the realms. With each victory, and with the aid of old friends, Eddie will restore his fearsome powers as he draws ever closer to facing the Unholy foe behind his fall - and thwarting a plot to unravel all of Creation! The first official Iron Maiden comic series, based on the band's hit mobile role playing game, Iron Maiden: Legacy Of The Beast, where players battle as Eddie across the many worlds of Iron Maiden's discography, from the ancient sands of Powerslave to the far future of the Final Frontier.</p>
<p> </p>
<p>Cover by <a href=""https://heavy-metal-mag.myshopify.com/search?q=Santi+Casas"">Santi Casas</a></p>",Comic,"Iron Maiden, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/IRON_MAIDEN_02_Cover_B.jpg?v=1512856963,1
Iron Maiden Legacy of the Beast - Issue #2 - Cover C,"<p>When dark forces conspire to corrupt the fabric of reality, Eddie's immortal soul is shattered and strewn across the cosmos, his unbound essence corrupting countless worlds! Now, a weakened, primal Eddie must journey across space and time to battle the twisted legions of The Beast, seek out the lost shards of his soul, and bring order to the realms. With each victory, and with the aid of old friends, Eddie will restore his fearsome powers as he draws ever closer to facing the Unholy foe behind his fall - and thwarting a plot to unravel all of Creation! The first official Iron Maiden comic series, based on the band's hit mobile role playing game, Iron Maiden: Legacy Of The Beast, where players battle as Eddie across the many worlds of Iron Maiden's discography, from the ancient sands of Powerslave to the far future of the Final Frontier.</p>
<p> </p>
<p>Cover by <a href=""https://heavy-metal-mag.myshopify.com/search?q=Santi+Casas"">Santi Casas</a></p>",Comic,"Iron Maiden, onsale",https://cdn.shopify.com/s/files/1/2358/6005/products/IRON_MAIDEN_02_Cover_C.jpg?v=1512856961,1
